individuo	familia	arquivo_origem	cr_pb	n_loci	tr_total_pb	pct_cr_repetida	maior_array_pb	copias_max	copias_soma	motivo_mediano_pb	n_loci_5linha	n_loci_central	n_loci_3linha
Crenicichla_macrophthalma	Cichlidae	div5.txt	1671	5	986	59.01	830	84	103	9.3	2	2	1
Osteoglossum_bicirrhosum	Osteoglossidae	div4.txt	1575	2	726	46.10	691	20	22	34.5	1	0	1
Crenicichla_lenticulata	Cichlidae	div5.txt	1157	5	326	28.18	213	24	36	8.9	2	2	1
Crenicichla_marmorata	Cichlidae	div5.txt	1157	5	376	32.50	213	24	36	10.0	2	2	1
Apistogramma_sp'Cuieiras'	Cichlidae	div4.txt	1149	4	256	22.28	153	10	20	15.3	2	0	2
Crenicichla_notophthalmus	Cichlidae	div5.txt	1148	2	1130	98.43	681	41	56	45.4	1	0	1
Crenicichla_lugubris	Cichlidae	div5.txt	1130	4	306	27.08	169	11	20	15.4	1	1	2
Colossoma_macropomum	Serrasalmidae	div5.txt	1044	1	44	4.21	44	3	3	14.7	1	0	0
Pygocentrus_nattereri	Serrasalmidae	div4.txt	1041	4	119	11.43	39	6	13	10.5	1	1	2
Cichla_monoculus	Cichlidae	div3.txt	891	5	222	24.92	75	4	15	14.5	2	0	3
Chaetobranchopsis_orbicularis	Cichlidae	div3.txt	884	2	171	19.34	124	6	8	23.5	1	0	1
Acarichthys_heckelii	Cichlidae	div4.txt	862	7	282	32.71	77	7	29	8.3	3	1	3
Gymnogeophagus_rhabdotus	Cichlidae	div3.txt	858	5	212	24.71	79	3	12	16.7	2	1	2
Satanoperca_jurupari	Cichlidae	div4.txt	857	4	111	12.95	38	3	12	10.0	1	0	3
Geophagus_dicrozoster	Cichlidae	div3.txt	856	4	133	15.54	47	3	12	15.7	2	0	2
Mesonauta_festivus	Cichlidae	div1.txt	856	2	62	7.24	39	5	8	7.8	1	0	1
Gymnogeophagus_labiatus	Cichlidae	div3.txt	855	2	63	7.37	39	3	6	13.0	1	0	1
Astronotus_ocellatus	Cichlidae	div2.txt	852	6	231	27.11	80	4	20	12.3	2	1	3
Cichla_temensis	Cichlidae	div2.txt	852	3	92	10.80	40	3	9	9.3	1	0	2
Cichlasoma_bimaculatum	Cichlidae	div2.txt	852	3	92	10.80	40	3	9	9.3	1	0	2
Satanoperca_lilith	Cichlidae	div4.txt	852	3	97	11.38	43	3	9	10.0	1	0	2
Hypselecara_temporalis	Cichlidae	div1.txt	851	1	20	2.35	20	3	3	6.7	0	0	1
Australoheros_barbosae	Cichlidae	div1.txt	849	3	95	11.19	36	4	8	16.0	2	0	1
Cichlasoma_amazonarum	Cichlidae	div2.txt	849	4	207	24.38	134	8	16	10.5	1	1	2
Heros_notatus	Cichlidae	div1.txt	849	2	82	9.66	55	4	7	18.3	1	0	1
Uaru_amphiacanthoides	Cichlidae	div1.txt	849	3	98	11.54	42	4	11	9.7	2	0	1
Aequidens_pallidus	Cichlidae	div2.txt	848	3	146	17.22	59	4	10	14.2	2	0	1
Heros_efasciatus	Cichlidae	div1.txt	848	2	82	9.67	55	4	7	18.3	1	0	1
Chaetobranchus_flavescens	Cichlidae	div3.txt	844	2	53	6.28	29	3	6	9.7	0	0	2
Symphysodon_discus	Cichlidae	div1.txt	844	2	84	9.95	57	4	8	14.2	1	0	1
Pterophyllum_scalare	Cichlidae	div2.txt	837	6	177	21.15	49	4	19	8.7	3	1	2
Arapaima_gigas	Osteoglossidae	div4.txt	756	1	27	3.57	27	14	14	1.9	0	0	1
