individuo	familia	arquivo_origem	locus	inicio	fim	extensao_pb	copias	motivo_pb	cr_pb	inicio_rel	meio_rel	zona	pct_da_cr
Australoheros_barbosae	Cichlidae	div1.txt	TR1	41	76	36	2	18.0	849	0.0483	0.0689	5'	4.24
Australoheros_barbosae	Cichlidae	div1.txt	TR2	155	186	32	2	16.0	849	0.1826	0.2008	5'	3.77
Australoheros_barbosae	Cichlidae	div1.txt	TR3	823	849	27	4	6.8	849	0.9694	0.9847	3'	3.18
Heros_efasciatus	Cichlidae	div1.txt	TR1	33	87	55	3	18.3	848	0.0389	0.0708	5'	6.49
Heros_efasciatus	Cichlidae	div1.txt	TR2	822	848	27	4	6.8	848	0.9693	0.9847	3'	3.18
Heros_notatus	Cichlidae	div1.txt	TR1	33	87	55	3	18.3	849	0.0389	0.0707	5'	6.48
Heros_notatus	Cichlidae	div1.txt	TR2	823	849	27	4	6.8	849	0.9694	0.9847	3'	3.18
Hypselecara_temporalis	Cichlidae	div1.txt	TR1	832	851	20	3	6.7	851	0.9777	0.9888	3'	2.35
Mesonauta_festivus	Cichlidae	div1.txt	TR1	24	46	23	3	7.7	856	0.0280	0.0409	5'	2.69
Mesonauta_festivus	Cichlidae	div1.txt	TR2	818	856	39	5	7.8	856	0.9556	0.9778	3'	4.56
Symphysodon_discus	Cichlidae	div1.txt	TR1	27	83	57	4	14.2	844	0.0320	0.0652	5'	6.75
Symphysodon_discus	Cichlidae	div1.txt	TR2	818	844	27	4	6.8	844	0.9692	0.9846	3'	3.20
Uaru_amphiacanthoides	Cichlidae	div1.txt	TR1	30	71	42	4	10.5	849	0.0353	0.0595	5'	4.95
Uaru_amphiacanthoides	Cichlidae	div1.txt	TR2	182	210	29	3	9.7	849	0.2144	0.2309	5'	3.42
Uaru_amphiacanthoides	Cichlidae	div1.txt	TR3	823	849	27	4	6.8	849	0.9694	0.9847	3'	3.18
Pterophyllum_scalare	Cichlidae	div2.txt	TR1	18	40	23	3	7.7	837	0.0215	0.0346	5'	2.75
Pterophyllum_scalare	Cichlidae	div2.txt	TR2	41	89	49	4	12.2	837	0.0490	0.0777	5'	5.85
Pterophyllum_scalare	Cichlidae	div2.txt	TR3	146	171	26	3	8.7	837	0.1744	0.1894	5'	3.11
Pterophyllum_scalare	Cichlidae	div2.txt	TR4	523	547	25	3	8.3	837	0.6249	0.6392	central	2.99
Pterophyllum_scalare	Cichlidae	div2.txt	TR5	704	733	30	3	10.0	837	0.8411	0.8584	3'	3.58
Pterophyllum_scalare	Cichlidae	div2.txt	TR6	812	835	24	3	8.0	837	0.9701	0.9839	3'	2.87
Aequidens_pallidus	Cichlidae	div2.txt	TR1	13	69	57	4	14.2	848	0.0153	0.0483	5'	6.72
Aequidens_pallidus	Cichlidae	div2.txt	TR2	127	185	59	3	19.7	848	0.1498	0.1840	5'	6.96
Aequidens_pallidus	Cichlidae	div2.txt	TR3	715	744	30	3	10.0	848	0.8432	0.8603	3'	3.54
Cichlasoma_amazonarum	Cichlidae	div2.txt	TR1	26	159	134	8	16.8	849	0.0306	0.1090	5'	15.78
Cichlasoma_amazonarum	Cichlidae	div2.txt	TR2	516	536	21	2	10.5	849	0.6078	0.6196	central	2.47
Cichlasoma_amazonarum	Cichlidae	div2.txt	TR3	722	749	28	3	9.3	849	0.8504	0.8663	3'	3.30
Cichlasoma_amazonarum	Cichlidae	div2.txt	TR4	824	847	24	3	8.0	849	0.9706	0.9841	3'	2.83
Cichlasoma_bimaculatum	Cichlidae	div2.txt	TR1	100	139	40	3	13.3	852	0.1174	0.1403	5'	4.69
Cichlasoma_bimaculatum	Cichlidae	div2.txt	TR2	724	751	28	3	9.3	852	0.8498	0.8656	3'	3.29
Cichlasoma_bimaculatum	Cichlidae	div2.txt	TR3	827	850	24	3	8.0	852	0.9707	0.9842	3'	2.82
Astronotus_ocellatus	Cichlidae	div2.txt	TR1	32	68	37	3	12.3	852	0.0376	0.0587	5'	4.34
Astronotus_ocellatus	Cichlidae	div2.txt	TR2	117	196	80	3	26.7	852	0.1373	0.1837	5'	9.39
Astronotus_ocellatus	Cichlidae	div2.txt	TR3	515	537	23	4	5.8	852	0.6045	0.6174	central	2.70
Astronotus_ocellatus	Cichlidae	div2.txt	TR4	605	641	37	3	12.3	852	0.7101	0.7312	3'	4.34
Astronotus_ocellatus	Cichlidae	div2.txt	TR5	719	748	30	3	10.0	852	0.8439	0.8609	3'	3.52
Astronotus_ocellatus	Cichlidae	div2.txt	TR6	824	847	24	4	6.0	852	0.9671	0.9806	3'	2.82
Cichla_temensis	Cichlidae	div2.txt	TR1	100	139	40	3	13.3	852	0.1174	0.1403	5'	4.69
Cichla_temensis	Cichlidae	div2.txt	TR2	724	751	28	3	9.3	852	0.8498	0.8656	3'	3.29
Cichla_temensis	Cichlidae	div2.txt	TR3	827	850	24	3	8.0	852	0.9707	0.9842	3'	2.82
Cichla_monoculus	Cichlidae	div3.txt	TR1	54	111	58	4	14.5	891	0.0606	0.0926	5'	6.51
Cichla_monoculus	Cichlidae	div3.txt	TR2	153	227	75	3	25.0	891	0.1717	0.2132	5'	8.42
Cichla_monoculus	Cichlidae	div3.txt	TR3	646	680	35	2	17.5	891	0.7250	0.7441	3'	3.93
Cichla_monoculus	Cichlidae	div3.txt	TR4	758	787	30	3	10.0	891	0.8507	0.8670	3'	3.37
Cichla_monoculus	Cichlidae	div3.txt	TR5	866	889	24	3	8.0	891	0.9719	0.9848	3'	2.69
Chaetobranchus_flavescens	Cichlidae	div3.txt	TR1	712	740	29	3	9.7	844	0.8436	0.8602	3'	3.44
Chaetobranchus_flavescens	Cichlidae	div3.txt	TR2	819	842	24	3	8.0	844	0.9704	0.9840	3'	2.84
Chaetobranchopsis_orbicularis	Cichlidae	div3.txt	TR1	58	181	124	6	20.7	884	0.0656	0.1352	5'	14.03
Chaetobranchopsis_orbicularis	Cichlidae	div3.txt	TR2	838	884	47	2	23.5	884	0.9480	0.9740	3'	5.32
Geophagus_dicrozoster	Cichlidae	div3.txt	TR1	47	93	47	3	15.7	856	0.0549	0.0818	5'	5.49
Geophagus_dicrozoster	Cichlidae	div3.txt	TR2	168	214	47	3	15.7	856	0.1963	0.2231	5'	5.49
Geophagus_dicrozoster	Cichlidae	div3.txt	TR3	728	746	19	3	6.3	856	0.8505	0.8610	3'	2.22
Geophagus_dicrozoster	Cichlidae	div3.txt	TR4	832	851	20	3	6.7	856	0.9720	0.9831	3'	2.34
Gymnogeophagus_rhabdotus	Cichlidae	div3.txt	TR1	49	127	79	2	39.5	858	0.0571	0.1026	5'	9.21
Gymnogeophagus_rhabdotus	Cichlidae	div3.txt	TR2	150	199	50	3	16.7	858	0.1748	0.2034	5'	5.83
Gymnogeophagus_rhabdotus	Cichlidae	div3.txt	TR3	544	566	23	2	11.5	858	0.6340	0.6469	central	2.68
Gymnogeophagus_rhabdotus	Cichlidae	div3.txt	TR4	638	673	36	2	18.0	858	0.7436	0.7640	3'	4.20
Gymnogeophagus_rhabdotus	Cichlidae	div3.txt	TR5	832	855	24	3	8.0	858	0.9697	0.9831	3'	2.80
Gymnogeophagus_labiatus	Cichlidae	div3.txt	TR1	39	77	39	3	13.0	855	0.0456	0.0678	5'	4.56
Gymnogeophagus_labiatus	Cichlidae	div3.txt	TR2	829	852	24	3	8.0	855	0.9696	0.9830	3'	2.81
Acarichthys_heckelii	Cichlidae	div4.txt	TR1	27	89	63	4	15.8	862	0.0313	0.0673	5'	7.31
Acarichthys_heckelii	Cichlidae	div4.txt	TR2	94	170	77	5	15.4	862	0.1090	0.1531	5'	8.93
Acarichthys_heckelii	Cichlidae	div4.txt	TR3	179	213	35	7	5.0	862	0.2077	0.2274	5'	4.06
Acarichthys_heckelii	Cichlidae	div4.txt	TR4	549	573	25	3	8.3	862	0.6369	0.6508	central	2.90
Acarichthys_heckelii	Cichlidae	div4.txt	TR5	612	651	40	3	13.3	862	0.7100	0.7326	3'	4.64
Acarichthys_heckelii	Cichlidae	div4.txt	TR6	737	753	17	3	5.7	862	0.8550	0.8643	3'	1.97
Acarichthys_heckelii	Cichlidae	div4.txt	TR7	832	856	25	4	6.2	862	0.9652	0.9791	3'	2.90
Apistogramma_sp'Cuieiras'	Cichlidae	div4.txt	TR1	43	98	56	3	18.7	1149	0.0374	0.0614	5'	4.87
Apistogramma_sp'Cuieiras'	Cichlidae	div4.txt	TR2	187	215	29	4	7.2	1149	0.1628	0.1749	5'	2.52
Apistogramma_sp'Cuieiras'	Cichlidae	div4.txt	TR3	765	782	18	3	6.0	1149	0.6658	0.6732	3'	1.57
Apistogramma_sp'Cuieiras'	Cichlidae	div4.txt	TR4	985	1137	153	10	15.3	1149	0.8573	0.9234	3'	13.32
Satanoperca_lilith	Cichlidae	div4.txt	TR1	32	74	43	3	14.3	852	0.0376	0.0622	5'	5.05
Satanoperca_lilith	Cichlidae	div4.txt	TR2	719	748	30	3	10.0	852	0.8439	0.8609	3'	3.52
Satanoperca_lilith	Cichlidae	div4.txt	TR3	827	850	24	3	8.0	852	0.9707	0.9842	3'	2.82
Satanoperca_jurupari	Cichlidae	div4.txt	TR1	118	136	19	3	6.3	857	0.1377	0.1482	5'	2.22
Satanoperca_jurupari	Cichlidae	div4.txt	TR2	612	649	38	3	12.7	857	0.7141	0.7357	3'	4.43
Satanoperca_jurupari	Cichlidae	div4.txt	TR3	724	753	30	3	10.0	857	0.8448	0.8617	3'	3.50
Satanoperca_jurupari	Cichlidae	div4.txt	TR4	832	855	24	3	8.0	857	0.9708	0.9842	3'	2.80
Osteoglossum_bicirrhosum	Osteoglossidae	div4.txt	TR1	64	754	691	20	34.5	1575	0.0406	0.2597	5'	43.87
Osteoglossum_bicirrhosum	Osteoglossidae	div4.txt	TR2	1465	1499	35	2	17.5	1575	0.9302	0.9410	3'	2.22
Arapaima_gigas	Osteoglossidae	div4.txt	TR1	653	679	27	14	1.9	756	0.8638	0.8810	3'	3.57
Pygocentrus_nattereri	Serrasalmidae	div4.txt	TR1	181	201	21	2	10.5	1041	0.1739	0.1835	5'	2.02
Pygocentrus_nattereri	Serrasalmidae	div4.txt	TR2	525	562	38	2	19.0	1041	0.5043	0.5221	central	3.65
Pygocentrus_nattereri	Serrasalmidae	div4.txt	TR3	782	802	21	3	7.0	1041	0.7512	0.7608	3'	2.02
Pygocentrus_nattereri	Serrasalmidae	div4.txt	TR4	906	944	39	6	6.5	1041	0.8703	0.8886	3'	3.75
Colossoma_macropomum	Serrasalmidae	div5.txt	TR1	66	109	44	3	14.7	1044	0.0632	0.0838	5'	4.21
Crenicichla_notophthalmus	Cichlidae	div5.txt	TR1	18	698	681	15	45.4	1148	0.0157	0.3118	5'	59.32
Crenicichla_notophthalmus	Cichlidae	div5.txt	TR2	699	1147	449	41	11.0	1148	0.6089	0.8040	3'	39.11
Crenicichla_macrophthalma	Cichlidae	div5.txt	TR1	24	75	52	4	13.0	1671	0.0144	0.0296	5'	3.11
Crenicichla_macrophthalma	Cichlidae	div5.txt	TR2	144	188	45	8	5.6	1671	0.0862	0.0993	5'	2.69
Crenicichla_macrophthalma	Cichlidae	div5.txt	TR3	616	643	28	3	9.3	1671	0.3686	0.3767	central	1.68
Crenicichla_macrophthalma	Cichlidae	div5.txt	TR4	720	750	31	4	7.8	1671	0.4309	0.4399	central	1.86
Crenicichla_macrophthalma	Cichlidae	div5.txt	TR5	841	1670	830	84	9.9	1671	0.5033	0.7513	3'	49.67
Crenicichla_lugubris	Cichlidae	div5.txt	TR1	30	74	45	3	15.0	1130	0.0265	0.0460	5'	3.98
Crenicichla_lugubris	Cichlidae	div5.txt	TR2	697	751	55	3	18.3	1130	0.6168	0.6407	central	4.87
Crenicichla_lugubris	Cichlidae	div5.txt	TR3	838	874	37	3	12.3	1130	0.7416	0.7575	3'	3.27
Crenicichla_lugubris	Cichlidae	div5.txt	TR4	940	1108	169	11	15.4	1130	0.8319	0.9062	3'	14.96
Crenicichla_lenticulata	Cichlidae	div5.txt	TR1	44	74	31	2	15.5	1157	0.0380	0.0510	5'	2.68
Crenicichla_lenticulata	Cichlidae	div5.txt	TR2	126	143	18	3	6.0	1157	0.1089	0.1162	5'	1.56
Crenicichla_lenticulata	Cichlidae	div5.txt	TR3	622	651	30	3	10.0	1157	0.5376	0.5501	central	2.59
Crenicichla_lenticulata	Cichlidae	div5.txt	TR4	726	759	34	4	8.5	1157	0.6275	0.6417	central	2.94
Crenicichla_lenticulata	Cichlidae	div5.txt	TR5	942	1154	213	24	8.9	1157	0.8142	0.9058	3'	18.41
Crenicichla_marmorata	Cichlidae	div5.txt	TR1	44	74	31	2	15.5	1157	0.0380	0.0510	5'	2.68
